3776,7915,1939,1413,4461,4119,374,1586,7787,948,524,4240
8414,9595,1339,5544,6544,159,7396,3387,6482,7585,1330,8841
952,7756,7619,1904,2553,8398,7614,2372,3245,9135,4734,9074
2256,3007,1045,4901,5209,1866,6666,7118,2034,5353,1495,1815
9170,2894,7333,8114,9883,7927,4611,8744,8919,8791,9252,5645
6212,3680,5051,9066,359,9137,1631,1640,6185,4133,6037,4963
8854,5888,7347,9700,5324,3908,8093,6715,389,5047,902,6002
4123,2031,4102,7819,2068,9692,1838,2065,4818,8386,1270,3343
9560,6807,2734,3475,6455,5704,1084,5371,7309,5720,8623,3386
9824,1323,1455,9747,8589,6167,5693,9733,1642,1360,816,2615
7944,2809,6196,7520,1215,4441,1431,7922,5602,4669,8263,5593
5096,5493,4576,3986,3881,4056,4740,9497,592,522,9706,1152
7246,5890,8372,3200,9355,6500,1290,1737,1278,1445,1594,7575
6847,6110,9843,9393,4717,4303,7284,205,253,2501,5289,2758
6250,9967,9218,5140,5442,2953,8250,2622,8433,7194,6117,4746
1690,921,5863,4351,3373,9852,4863,8580,8893,5606,5605,57
534,5673,2746,8674,1626,9256,1267,4498,3982,4508,2234,9759
4411,6006,216,7685,1596,884,7351,9714,821,9342,2710,3114
1600,2825,4303,659,8081,5696,4677,2254,881,3935,5623,7179
3393,9124,2555,6542,9454,4396,3696,827,535,7225,126,5506
2589,5527,2152,6721,4744,5245,7474,4754,2985,6661,6912,2054
3160,2890,1127,1554,3680,4805,671,9846,8334,1583,2910,2447
248,3688,2110,4142,2462,9474,2442,7714,6570,7685,7796,3662
5283,9921,1278,3860,5687,845,5372,2974,8930,4534,2706,4058
6760,1607,4538,9240,411,2495,4565,4716,1472,6346,1984,4809
1364,5314,759,6447,9608,2617,4166,9863,5998,5830,1725,5889
7305,9974,8875,4437,297,5810,2771,5103,4891,7845,3443,8867
9590,4608,4412,2419,7377,1386,416,4937,212,6220,994,7609
7816,1812,8881,8177,4713,5954,5557,2546,1709,5507,586,1744
2070,2614,7685,1595,6377,4060,1541,6103,4346,28,3036,6439
5363,6474,6514,9045,5515,850,4218,9196,458,5818,8671,8479
8124,3108,6518,971,7625,7003,7265,8875,6329,6055,4664,1655
1855,3753,8472,8994,9322,7416,7367,369,5200,7027,8958,4780
6760,3880,8372,3217,9650,8237,1351,4818,3399,5162,5853,131
1140,3973,4342,3438,7465,1517,4762,538,2225,4581,142,2370
4415,1747,2930,4826,7464,8921,8684,7573,7750,2133,8184,5478
3743,9528,1483,3587,910,4756,5073,6155,797,8469,8373,4240
