808,621,291,136,129,658,112,59,567,798,98,780
107,504,277,497,42,482,776,751,290,714,400,945
589,572,579,603,568,800,148,304,756,173,57,325
221,14,823,572,609,708,125,512,437,557,713,854
840,756,920,798,745,784,868,369,620,631,763,557
867,69,681,243,167,344,787,851,911,906,628,595
975,659,844,264,769,430,691,847,288,634,601,577
135,944,101,538,971,673,519,172,159,738,909,521
773,812,46,171,428,914,514,192,338,496,148,696
849,921,917,274,112,508,69,428,120,306,119,676
237,477,184,944,114,246,85,387,454,752,905,353
94,799,283,466,842,526,237,503,591,520,836,206
14,718,587,175,564,540,543,239,265,709,329,426
548,794,67,486,826,262,696,787,632,802,925,320
619,343,677,989,191,426,770,265,76,360,484,20
999,670,261,821,281,895,873,877,614,757,79,824
529,923,79,307,757,420,385,282,223,865,663,370
119,521,145,643,529,124,179,362,943,676,790,888
928,628,835,12,145,54,960,458,18,587,495,938
244,786,857,929,684,818,309,129,167,230,463,966
219,352,789,180,566,348,564,300,513,910,948,154
