5432,5825,2180,6419,7867,4662,9877,4046,436,798,3448,7614
8068,6799,9172,7704,7787,2938,7231,785,3257,7572,9484,3399
7815,2931,6095,569,9423,3553,2637,7866,6300,1013,8911,5914
2514,4832,5993,8031,31,9074,3632,9415,6414,6657,2466,8350
6620,4702,2889,428,6066,5131,9523,4533,5406,6233,466,6576
559,8633,6031,2891,9384,750,1210,2810,6823,1461,893,292
880,3117,7387,8759,7968,3391,7180,4664,2791,5900,726,4186
481,1635,7100,820,9053,7000,8788,7369,2050,6424,4354,2382
4313,9960,2693,2213,9827,4546,3523,5503,35,5654,3919,8911
7334,9312,1669,721,292,3093,8661,2303,3243,1716,7400,6555
2104,4978,8948,5373,197,1639,8825,7437,2160,9523,9261,4822
4428,4297,4879,6754,5820,7773,3331,4522,957,6846,7940,1679
8542,806,3528,3139,2043,6518,9798,1681,6867,9386,6803,6535
7164,3550,3823,7900,5296,767,9511,2477,9352,1541,6298,4906
4803,3175,6249,5198,8318,262,9641,3721,2318,2442,7053,2704
3007,1508,5832,7901,2877,2138,7184,8910,9426,5577,5764,6287
6657,1404,8729,8626,9555,480,3612,2293,9484,7063,2050,9315
191,8454,7537,9545,92,2052,1513,7581,9985,5682,6524,1479
659,9806,1723,2080,8664,7721,3185,2453,9033,3331,9339,4774
3800,6056,3464,6347,9421,1134,795,3263,5755,8189,6464,1800
6185,2522,2716,2921,9849,7525,3945,5987,6427,7610,9964,1792
1621,6713,3624,4637,6795,3862,7454,9466,9225,8699,9288,9005
3614,9647,1191,7634,4916,3361,2923,613,9956,1555,3877,2208
2322,480,9088,1697,5757,3051,7964,8292,9281,9211,1336,9437
5539,1057,3506,4452,7515,5683,9404,6213,8318,8725,7296,2458
5619,2784,4157,6437,4404,3881,4799,8659,9561,2231,8477,7869
5002,1376,8741,3426,7821,5403,2033,7078,7653,5070,6081,1398
2455,8653,3705,9978,4764,4016,1266,6966,765,5135,7589,1110
9773,7275,1815,4584,1121,5819,1619,1826,3650,9585,1274,3544
3480,9982,6201,5535,5414,8977,1714,678,8424,5231,8715,32
4273,85,8945,5459,224,5092,8574,383,6118,4717,9747,9544
5955,2506,2497,2199,3543,2255,2782,4503,4129,1566,3345,1939
6119,7577,1528,9049,5613,4120,1857,982,9955,2201,6556,9455
3638,9099,9435,1934,5070,9815,9695,8868,8899,7574,7167,3244
4857,9608,8982,6339,8231,9660,479,534,4162,2904,1018,996
6128,7309,6785,5903,7740,2163,8001,5746,643,4586,6613,1442
9345,1431,5028,521,7532,4868,2222,2488,6123,1411,5616,4936
4948,7281,8109,6521,5576,1529,9698,880,8927,9350,3694,729
2647,4071,9578,4917,4203,4491,8128,6244,808,9347,3409,8620
3515,3316,7037,8430,5650,582,1398,8866,3245,4587,2804,3852
94,4643,3472,2884,336,7636,6293,7690,8559,831,3388,9882
